tweet_id,time_created,url,username,tweet,like_count,reply_count,quote_count,retweet_count
1954786599277117639,2025-08-11 06:06:58+00:00,https://x.com/nkri_dlmberita/status/1954786599277117639,nkri_dlmberita,"@SEAGamethetic @EyyWannn91909 Anggaran film ini udah lewat proses resmi dan diaudit kok. Daripada nuduh-nuduh, mending cek datanya biar nggak termakan hoaks. Intinya Merah Putih: One For All mau ngajak kita buat kompak dan bangga sama karya lokal. Yuk, fokus di semangatnya, bukan cuma nyari celahnya.",0,1,0,0
1954786272779837768,2025-08-11 06:05:40+00:00,https://x.com/nkri_dlmberita/status/1954786272779837768,nkri_dlmberita,"@wforwiu_ Kritik Boleh, Fitnah Jangan.
kalau cuma ngelempar tuduhan tanpa bukti, yang rugi ya kita sendiri karena ngejatuhin semangat anak bangsa. Intinya Merah Putih: One For All mau ngajak kita buat kompak dan bangga sama karya lokal. Yuk, fokus di semangatnya, bukan cuma nyari celahnya.",0,0,0,0
1954786134493630825,2025-08-11 06:05:07+00:00,https://x.com/besokpulang_/status/1954786134493630825,besokpulang_,"Merah putih biru: one for all, all for one #wanieun",1,0,0,0
1954174942804840536,2025-08-09 13:36:27+00:00,https://x.com/IndoPopBase/status/1954174942804840536,IndoPopBase,The infamous animated movie ‘MERAH PUTIH: ONE FOR ALL’ reportedly had a production budget of Rp6.7 billion. https://t.co/TmoMua8Pze,58155,3827,9630,6611
1954785175088599416,2025-08-11 06:01:18+00:00,https://x.com/hharusari/status/1954785175088599416,hharusari,@cerikola lah itu lagi dikembangin jadi film merah putih one for all,0,1,0,0
1954784648510464355,2025-08-11 05:59:13+00:00,https://x.com/runjemuhammad/status/1954784648510464355,runjemuhammad,@scrapytweets Merah putih one for all,0,0,0,0
1954783959415689542,2025-08-11 05:56:28+00:00,https://x.com/pseachiatrist/status/1954783959415689542,pseachiatrist,@miziisva Ayo nonton Merah Putih One for All,0,1,0,0
1954783919192293619,2025-08-11 05:56:19+00:00,https://x.com/garudatvnews/status/1954783919192293619,garudatvnews,"Film animasi Merah Putih: One For All, yang diproduksi untuk menyambut peringatan HUT ke-80 Republik Indonesia, tengah menjadi perbincangan hangat di media sosial.

Lini masa X ramai membahas cuplikan film tersebut. Sejumlah warganet menyindir kualitas animasi yang dianggap seperti belum selesai namun dipaksakan rilis. Semakin ramai diperbincangkan oleh netizen Indonesia ketika film animasi Garapan Perfiki Kreasindo muncul informasi terkait biaya produksi dan proses pengerjaan film.

Gimana pendapat kamu?

Naskah: Sephia 
Editor | Admin: Asas | Farra 

Saksikan Garuda TV di Free to Air atau Streaming melalui:

https://t.co/8OYe9W7AgR | YouTube Garuda TV | Aplikasi Vidio | WeTV (Wewatch) | IndiHome CH111 | Transvision CH824 | FirstMedia CH45

#garudatv #laporan8 #GasTrust #2TahunUntukIndonesia #HUTGarudaTV #GasTrus #GarudaTV2Tahun #UlangTahunGarudaTV #HUTGarudaTV #MerahPutihOneForAll #FilmAnimasi #14Agustus #AnimasiIndonesia",0,1,0,0
1954783221037867345,2025-08-11 05:53:32+00:00,https://x.com/rotiprikitiw/status/1954783221037867345,rotiprikitiw,mau nonton merah putih all for one,0,0,0,0
1954533229039431913,2025-08-10 13:20:09+00:00,https://x.com/JPFBASE/status/1954533229039431913,JPFBASE,*jpf wah ada yang lagi di jakarta nih guys👀 https://t.co/2XeVx6uflO,5767,246,681,614
1954782833970749914,2025-08-11 05:52:00+00:00,https://x.com/Insertlivettv/status/1954782833970749914,Insertlivettv,Film animasi 'Merah Putih: One For All' menuai kritik tajam usai trailer dirilis. Banyak yang menilai kualitas animasi dan cerita kurang menarik. https://t.co/ouCIocitLw,0,0,0,0
1954782404226515223,2025-08-11 05:50:17+00:00,https://x.com/chachamaru_022/status/1954782404226515223,chachamaru_022,Ada yang mau nonton bareng Merah putih All for one ga 🥹,0,0,0,0
1954782152220127578,2025-08-11 05:49:17+00:00,https://x.com/Sambeliren/status/1954782152220127578,Sambeliren,@KucengTerbanggg Merah putih one for all,0,0,0,0
1954782079084024226,2025-08-11 05:49:00+00:00,https://x.com/RzR0tsch1ld/status/1954782079084024226,RzR0tsch1ld,"@gataungapainn @FilmIndoSource yang suka nonton film merah putih one for all patut dipertanyakan kewarasannya
https://t.co/rX9QwZpuyW",0,0,0,0
